linie;bahnhof;fahrzeit_min;lat;lon
GTFS;Starnberg Nord;32;48.00597;11.34739
GTFS;Augsburg-Hochzoll;33;48.35298;10.94338
GTFS;Bachern;33;48.28016;11.37872
GTFS;Eglharting;33;48.08235;11.86429
GTFS;Moosburg;33;48.47033;11.93038
GTFS;Ostermünchen;33;47.94215;12.04159
GTFS;Rohrbach(Ilm);33;48.60658;11.57333
GTFS;Sauerlach;33;47.97406;11.65477
GTFS;Wächterhof;33;48.03357;11.71273
GTFS;Feldafing;34;47.94694;11.29022
GTFS;Vierkirchen-Esterhofen;34;48.36112;11.44511
GTFS;Hallbergmoos;35;48.30917;11.71433
GTFS;Höhenkirchen-Siegertsbrunn;35;48.01846;11.71923
GTFS;Icking;35;47.95325;11.43665
GTFS;Warngau;35;47.83357;11.70947
GTFS;Weilheim(Oberbay);35;47.84536;11.14286
GTFS;Malching(Oberbay);36;48.21545;11.21906
GTFS;Ottenhofen(Oberbay);36;48.21814;11.87938
GTFS;Weßling(Oberbay);36;48.07737;11.25177
GTFS;Possenhofen;37;47.96196;11.30648
GTFS;Schwabhausen(b Dachau);37;48.30052;11.36476
GTFS;Seeshaupt;37;47.82278;11.28703
GTFS;Großkarolinenfeld;38;47.88883;12.08482
GTFS;Rosenheim;38;47.85002;12.11920
GTFS;Dorfen Bahnhof;39;48.26705;12.15969
GTFS;Dürrnhaar;39;47.99395;11.73661
GTFS;Kreuzstraße;39;47.91649;11.75901
GTFS;Miesbach;40;47.79083;11.83082
GTFS;München Flughafen Besucherpark;40;48.35210;11.76418
GTFS;Niederroth;40;48.32093;11.39004
GTFS;Schaftlach;40;47.79547;11.68412
GTFS;Wolfratshausen;40;47.91443;11.42720
GTFS;Kaufering;41;48.08108;10.85491
GTFS;Steinebach;41;48.06118;11.20681
GTFS;Aying;42;47.96876;11.76958
GTFS;München Flughafen Terminal;42;48.35373;11.78597
GTFS;Augsburg-Oberhausen;43;48.38077;10.87253
GTFS;Bruckberg;43;48.51598;11.99778
GTFS;Huglfing;43;47.77674;11.14055
GTFS;Landshut(Bay)Hbf;43;48.54749;12.13593
GTFS;Türkenfeld;43;48.10473;11.07728
GTFS;Agatharied;44;47.76561;11.82447
GTFS;Markt Indersdorf;44;48.35239;11.37845
GTFS;Seefeld-Hechendorf;44;48.04137;11.19873
GTFS;Ingolstadt Hbf;45;48.74454;11.43734
GTFS;Altenerding;46;48.29357;11.90174
GTFS;Buchloe;46;48.03372;10.71622
